Committee,Committee Type,Payee,Purpose of Expenditure,Description,Payment Method,Payment Date,Amount,File to State,Period Start,Period End,Election Year,Status,Data Source,Refiled Electronically,Street Address,City,State
139Th District Democrats,Political Action Committee,DIME BANK,"BNK(Bank fees, interest charges, or penalties)",SERVICE CHARGE,Check,2/28/2012,8,1/5/2012,1/1/2011,12/31/2011,,Original,Data Entry,NO,290 SALEM TNPK,NORWICH,CT                                                
139Th District Democrats,Political Action Committee,COURTNEY FOR CONGRESS,CNTRB(),,Check,2/25/2012,50,4/9/2012,1/1/2012,3/31/2012,,Original,Data Entry,NO,P.O. Box 1372,VERNON,CT                                                
139Th District Democrats,Political Action Committee,NAACP,CNTRB(),,Check,1/13/2012,25,4/9/2012,1/1/2012,3/31/2012,,Original,Data Entry,NO,P.O. Box 24,NORWICH,CT                                                
139Th District Democrats,Political Action Committee,MONTVILLE EDUCATION FOUNDATION,CNTRB(),,Check,2/25/2012,50,4/9/2012,1/1/2012,3/31/2012,,Original,Data Entry,NO,P.O. BOX 521,UNCASVILLE,CT                                                
139Th District Democrats,Political Action Committee,1ST DEMOCRATIC DISTRICT,CNTRB(),,Check,3/11/2012,20,4/9/2012,1/1/2012,3/31/2012,,Original,Data Entry,NO,37 GRACE TERRACE,EAST HARTFORD,CT                                                
1St District Democratic Committee Of East Hartford,Political Action Committee,BANK OF AMERICA,"BNK(Bank fees, interest charges, or penalties)",MONTHLY BANK CHARGE,,1/30/2012,15,4/9/2012,1/1/2012,3/31/2012,,Original,Data Entry,NO,P.O. Box 25118,TAMPA,FL                                                
1St District Democratic Committee Of East Hartford,Political Action Committee,BANK OF AMERICA,"BNK(Bank fees, interest charges, or penalties)",MONTHLY BANK CHARGE,,2/28/2012,15,4/9/2012,1/1/2012,3/31/2012,,Original,Data Entry,NO,P.O. Box 25118,TAMPA,FL                                                
1St District Democratic Committee Of East Hartford,Political Action Committee,BANK OF AMERICA,"BNK(Bank fees, interest charges, or penalties)",MONTHLY BANK CHARGE,,3/30/2012,15,4/9/2012,1/1/2012,3/31/2012,,Original,Data Entry,NO,P.O. Box 25118,TAMPA,FL                                                
1St District Democratic Committee Of East Hartford,Political Action Committee,SAVVI'S RESTAURANT,FOOD(Paid directly to a vendor for food and beverage),HOLIDAY MEETING,Check,1/30/2012,148.66,4/9/2012,1/1/2012,3/31/2012,,Original,Data Entry,NO,1555 MAIN ST,EAST HARTFORD,
1St District Democratic Committee Of East Hartford,Political Action Committee,ST. MARY'S CHURCH,MISC(Expenses related to miscellaneous items that are listed above),MEMORIAL DONATION FOR MARGARET GRABOWSKI,Check,3/3/2012,100,4/9/2012,1/1/2012,3/31/2012,,Original,Data Entry,NO,15 MAPLEWOOD AVE,EAST HARTFORD,CT                                                
1St District Democratic Committee Of East Hartford,Political Action Committee,DISCOUNT TROPHY,FNDR(Expenses associated with holding a committee fundraiser),PLACQUE FOR HONORCE JOANNE LEBEAU,Check,3/7/2012,58.49,4/9/2012,1/1/2012,3/31/2012,,Original,Data Entry,NO,1052 MAIN ST,EAST HARTFORD,CT                                                
1St District Democratic Committee Of East Hartford,Political Action Committee,JEFF CURREY,FNDR(Expenses associated with holding a committee fundraiser),PRINTING OF DINNER TICKETS,Check,1/30/2012,31.17,4/9/2012,1/1/2012,3/31/2012,,Original,Data Entry,NO,50 MCKEE ST,EAST HARTFORD,CT                                                
1St District Democratic Committee Of East Hartford,Political Action Committee,E.H.D.T.C.,dues(),TOWN COMMITTEE DUES,Check,6/6/2012,300,7/5/2012,4/1/2012,6/30/2012,,Original,Data Entry,NO,127 CHRISTINE DR,EAST HARTFORD,CT                                                
